name,hp,hp_defense,upgrade_hp,atk,upgrade_atk,type_label,unit_type,atk_type,flag
幼虫,25,10,0,{'':0},{'':0},"['轻甲','生物单位']",['地面'],[''],1
异虫茧(幼虫变异),200,10,0,{'':0},{'':0},['生物单位'],['地面'],[''],2
爆虫卵,50,3,0,{'':0},{'':0},['生物单位'],['地面'],[''],3
破坏者茧,100,5,0,{'':0},{'':0},['生物单位'],['地面'],[''],4
潜伏者茧,100,5,0,{'':0},{'':0},['生物单位'],['地面'],[''],5
眼虫茧,200,2,0,{'':0},{'':0},['生物单位'],['天空'],[''],6
工蜂,40,0,1,{'':5},{'':0},"['轻甲','生物单位']",['地面'],['地面'],7
跳虫,35,0,1,{'':5},{'':1},"['轻甲','生物单位']",['地面'],['地面'],8
爆虫,30,0,1,"{'':16,'轻甲':35,'建筑':80}","{'':2,'轻甲':4,'建筑':5}",['生物单位'],['地面'],['地面'],9
蟑螂,145,1,1,{'':16},{'':2},"['重甲','生物单位']",['地面'],['地面'],10
破坏者,120,1,1,{'':16},{'':2},"['重甲','生物单位']",['地面'],['地面'],11
破坏者(技能),120,1,1,"{'':60,'shield':0}",{'':0},"['重甲','生物单位']",['地面'],"['地面','天空']",11
刺蛇,90,0,1,{'':12},{'':1},"['轻甲','生物单位']",['地面'],"['地面','天空']",12
潜伏者,200,1,1,"{'':20,'重甲':30}","{'':2,'重甲':3}","['重甲','生物单位']",['地面'],['地面'],13
虫群宿主,160,1,1,{'':0},{'':0},"['重甲','生物单位']",['地面'],[''],14
蝗虫,50,0,1,{'':10},{'':1},"['轻甲','生物单位']",['地面'],['地面'],15
感染者(定),90,0,1,"{'':30,'shield':0}",{'':0},"['重甲','生物单位','灵能单位']",['地面'],"['地面','天空']",16
雷兽,500,2,1,{'':35},{'':3},"['重甲','生物单位','重型单位']",['地面'],['地面'],17
板甲雷兽,500,4,1,{'':19},{'':3},"['重甲','生物单位','重型单位']",['地面'],['地面'],18
巢虫,40,0,1,{'':4},{'':1},"['轻甲','生物单位']",['地面'],['地面'],19
虫后,175,1,1,{'':4},{'':1},"['重甲','灵能单位']",['地面'],['地面'],20
虫后-对空,175,1,1,{'':9},{'':1},"['重甲','灵能单位']",['地面'],['天空'],20
拟态雏虫,5,0,1,{'':0},{'':0},"['轻甲','生物单位']",['地面'],[''],21
飞蛇(寄生蛋),150,1,1,"{'':120,'shield':0}",{'':0},"['重甲','生物单位']",['天空'],['天空'],22
飞龙,120,0,1,{'':9},{'':1},"['轻甲','生物单位']",['天空'],"['地面','天空']",23
腐化者,200,2,1,"{'':14,'重型':20}","{'':1,'重型':2}","['重甲','生物单位']",['天空'],['天空'],24
巢虫领主,225,1,1,{'':20},{'':2},"['重甲','生物单位','重型单位']",['天空'],['地面'],25
王虫,200,0,1,{'':0},{'':0},"['重甲','生物单位']",['天空'],[''],26
眼虫,200,1,1,{'':0},{'':0},"['重甲','生物单位']",['天空'],[''],27
